index	name	Abeta+nvoxels	Abeta+stain	Abeta+count	Abeta+fieldfrac	Abeta+volume	Abeta+density	Iba1+nvoxels	Iba1+stain	Iba1+count	Iba1+fieldfrac	Iba1+volume	Iba1+density	coloc+object_id_a	coloc+object_id_b	coloc+stain_a	coloc+stain_b	coloc+radius_a	coloc+radius_b	coloc+nvoxels_a	coloc+nvoxels_b	coloc+distance	coloc+overlapratio	coloc+count	coloc+volume	coloc+density	participant_id	batch_id	bag_id	participant_label	sex	treatment	age	genotype	antibodies	has_mri	notes	QC_notes
0	Unknown_Label_0	12707398.0	Abeta	100.0	0.0			13584284.0	Iba1	72.0	0.0			Abeta_0	Iba1_182	Abeta	Iba1	0.1128615569821398	0.118015051118461	1535926.6279069767	1794491.720930233	0.0547376680387707	0.7575211098873296	43.0			sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
1	L_Isocortex	5018792.0	Abeta	5.0	26.61674271035302	65.87901235830884	0.0758967055062322	6340755.0	Iba1	2.0	30.98583246887217	65.87901235830884	0.0303586822024928	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.87901235830884	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
2	R_Isocortex	4645960.0	Abeta	7.0	24.46740134636915	66.14171137572559	0.1058333667878004	5653195.0	Iba1	6.0	29.510782753350814	66.14171137572559	0.0907143143895432	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.14171137572559	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
3	L_Olfactory areas	4103434.0	Abeta	5.0	31.56136438276649	24.92423554303784	0.2006079581203711	2391375.0	Iba1	3.0	33.83925120865189	24.92423554303784	0.1203647748722226	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.92423554303784	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
4	R_Olfactory areas	3718641.0	Abeta	20.0	31.210808005700653	24.57720633379818	0.813762139128739	3960348.0	Iba1	9.0	32.064395699724265	24.57720633379818	0.3661929626079325	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.57720633379818	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
5	L_Hippocampal formation	8886153.0	Abeta	2.0	29.74770840611536	22.88565309556252	0.0873909952077267	10168279.0	Iba1	2.0	32.157433747567	22.88565309556252	0.0873909952077267	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.88565309556252	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
6	R_Hippocampal formation	4560184.0	Abeta	2.0	30.029454357813435	22.87232778308485	0.0874419087977172	5255999.0	Iba1	2.0	31.040240695119515	22.87232778308485	0.0874419087977172	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.87232778308485	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
7	L_Cortical subplate	1867658.0	Abeta	1.0	22.38750898490536	4.767035358079856	0.2097739842237705	2105798.0	Iba1	1.0	30.14986822138807	4.767035358079856	0.2097739842237705	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.767035358079856	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
8	R_Cortical subplate	0.0	0	0.0	21.78180730101736	4.7714136750368015	0.0	0.0	0	0.0	30.67903451027329	4.7714136750368015	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7714136750368015	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
9	L_Striatum	3912455.0	Abeta	7.0	25.063614195411823	24.12205173188264	0.2901909040659235	6414748.0	Iba1	3.0	31.80407522274044	24.12205173188264	0.1243675303139672	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.12205173188264	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
10	R_Striatum	2753011.0	Abeta	6.0	23.473586947079124	24.104157740841213	0.2489197118816484	3271455.0	Iba1	1.0	30.321750392898604	24.10415774084121	0.0414866186469414	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.10415774084121	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
11	L_Pallidum	476.0	Abeta	2.0	32.05837709379432	4.966343960424302	0.402710729650938	0.0	0	0.0	39.16658361761662	4.966343960424302	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.966343960424302	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
12	R_Pallidum	0.0	0	0.0	29.421675467175973	5.083225987014072	0.0	0.0	0	0.0	41.51320076395911	5.083225987014072	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.083225987014072	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
13	L_Thalamus	259.0	Abeta	1.0	26.22423452309644	10.805305526528583	0.0925471285883454	0.0	0	0.0	33.7339593389944	10.805305526528583	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.805305526528583	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
14	R_Thalamus	2420.0	Abeta	5.0	25.95340763114953	10.965970722687812	0.4559559866100459	0.0	0	0.0	33.66000069437212	10.965970722687812	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.965970722687812	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
15	L_Hypothalamus	2989789.0	Abeta	2.0	28.511324961858936	8.110356258725032	0.2465982918874152	3600609.0	Iba1	1.0	34.554348081211124	8.110356258725032	0.1232991459437076	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.110356258725032	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
16	R_Hypothalamus	0.0	0	0.0	30.94101540746241	8.203823807675484	0.0	0.0	0	0.0	33.51352793762762	8.203823807675484	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.203823807675484	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
17	L_Midbrain	4590346.0	Abeta	3.0	23.488019502908926	19.599440676964456	0.153065592505706	5555698.0	Iba1	1.0	30.42438252119776	19.599440676964456	0.0510218641685686	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.599440676964456	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
18	R_Midbrain	0.0	0	0.0	22.570716367541035	19.85547703814237	0.0	0.0	0	0.0	30.98657769596564	19.85547703814237	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.85547703814237	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
19	L_Pons	2461964.0	Abeta	1.0	26.34311251764102	8.902450904718574	0.112328617220452	3316524.0	Iba1	1.0	32.55007911730745	8.902450904718574	0.112328617220452	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.902450904718574	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
20	R_Pons	310.0	Abeta	1.0	22.843401251268176	9.006388342044332	0.1110322986331514	0.0	0	0.0	32.062161819411564	9.006388342044332	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.006388342044332	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
21	L_Medulla	2752283.0	Abeta	3.0	25.09440455705216	16.04082079900164	0.1870228486179906	3525424.0	Iba1	2.0	31.72098736130065	16.04082079900164	0.1246818990786604	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.04082079900164	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
22	R_Medulla	859406.0	Abeta	3.0	22.78337959955112	16.115061825662895	0.186161246692989	1053803.0	Iba1	1.0	30.809142992144587	16.115061825662895	0.062053748897663	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.115061825662895	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
23	L_Cerebellum	1897.0	Abeta	5.0	26.32738987213087	28.83654728647916	0.1733910773133506	1058462.0	Iba1	2.0	29.32196352065908	28.83654728647915	0.0693564309253402	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.83654728647915	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
24	R_Cerebellum	2135530.0	Abeta	1.0	25.539508751710727	29.070692062872336	0.0343989058752801	2118320.0	Iba1	1.0	28.968352399599247	29.070692062872336	0.0343989058752801	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.070692062872336	0.0	sub-AS7F1	2	k	AS7F1	F			WT	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
0	Unknown_Label_0	2295043.0	Abeta	511.0	0.0			17720308.0	Iba1	70.0	0.0			Abeta_5500	Iba1_6382	Abeta	Iba1	0.0075883314613606	0.0080583265380252	229.0	274.0	0.0041178090807166	0.7374822369859033	2.0			sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
1	L_Isocortex	1313041.0	Abeta	1207.0	7.923926359869915	68.39982875612817	17.646243008932398	6434310.0	Iba1	3.0	28.98179322403885	68.39982875612817	0.0438597589285809	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.39982875612817	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
2	R_Isocortex	1149702.0	Abeta	1061.0	8.234607212748113	68.12329806340226	15.574701022439177	5014623.0	Iba1	6.0	30.04219178082192	68.12329806340226	0.0880755948488549	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.12329806340226	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
3	L_Olfactory areas	1241599.0	Abeta	320.0	8.443512466445075	25.611655708315347	12.494311326233603	6456664.0	Iba1	7.0	32.455491853867834	25.611655708315347	0.2733130602613601	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.611655708315347	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
4	R_Olfactory areas	460077.0	Abeta	324.0	8.740283967250493	25.72687683028448	12.593833372677492	2619577.0	Iba1	5.0	32.186074056526955	25.726876830284475	0.1943492804425539	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.72687683028448	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
5	L_Hippocampal formation	571075.0	Abeta	282.0	6.525332774680117	23.636137198917325	11.93088352917994	11338141.0	Iba1	3.0	30.55654752312502	23.636137198917325	0.1269242928636164	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.636137198917325	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
6	R_Hippocampal formation	264207.0	Abeta	315.0	5.782490742231524	23.65746739009177	13.315034733258402	301737.0	Iba1	1.0	31.593109000161004	23.65746739009177	0.0422699515341536	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.65746739009177	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
7	L_Cortical subplate	52534.0	Abeta	115.0	6.809580792094495	4.933749397904665	23.30884500312072	2114540.0	Iba1	1.0	28.436462595537712	4.933749397904665	0.2026856087227888	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.933749397904665	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
8	R_Cortical subplate	35885.0	Abeta	96.0	6.30015858894519	4.9236556467238985	19.49770798123879	0.0	0	0.0	28.579507213863	4.9236556467238985	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9236556467238985	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
9	L_Striatum	189711.0	Abeta	301.0	5.037057224892137	24.80739323215726	12.133479611627251	3999825.0	Iba1	2.0	32.524758556096366	24.80739323215726	0.0806211269875565	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.80739323215726	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
10	R_Striatum	203789.0	Abeta	265.0	4.026952341585144	24.879763523642	10.651226638395643	3205675.0	Iba1	1.0	33.05339181555137	24.879763523642	0.0401933080694175	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.879763523642	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
11	L_Pallidum	151873.0	Abeta	66.0	5.50027659966808	5.164001193707443	12.780787130805438	0.0	0	0.0	32.531735201917755	5.164001193707443	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.164001193707443	0.0	sub-AS7F2	2	f	AS7F2	F	Lecanemab	14.0	App-NLGF	647 IBA1, Se tau Gp- 561 A-beta red X Rb, 488 CD31 goat	Y		
